nombre,urls
Act 2: Chapter 24: Ragno's Corpse,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-24-ragnos-corpse
Act 2: Chapter 25: Omen,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-25-omen
Act 2: Chapter 26: Giant Spider,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-26-giant-spider
Act 2: Chapter 27: Return to Magic City,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-27-return-to-magic-city
Act 2: Chapter 28: Alfred's Subjugation Count,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-28-alfreds-subjugation-count
Act 2: Chapter 29: Alfred’s Wrath,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-29-alfreds-wrath
Act 2: Chapter 30: Bet Your Honor,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-30-bet-your-honor
Act 2: Chapter 31: Foul Play Plan,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-31-foul-play-plan
Act 2: Chapter 32: Magic City's S-Rank Adventurer,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-32-magic-citys-s-rank-adventurer
Act 2: Chapter 33: Guild Master,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-33-guild-master
Act 2: Chapter 34: 《Jade Dragon's Eye》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-34-jade-dragons-eye
Act 2: Chapter 35: 《Adamant Ore》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-35-adamant-ore
Act 2: Chapter 36: Visit,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-36-visit
Act 2: Chapter 37: Adventurer Meeting,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-37-adventurer-meeting
Act 2: Chapter 38: Kotone Takanashi,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-38-kotone-takanashi
Act 2: Chapter 39: Guild's Decision,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-39-guilds-decision
Act 2: Chapter 40: Stalking Diary of A Certain Immortal(Side: Lunaire),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-40-stalking-diary-of-a-certain-immortalside-lunaire
Act 2: Chapter 41: Those Who Lurk in The Ground,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-41-those-who-lurk-in-the-ground
Act 2: Chapter 42: Dawn of the Battle,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-42-dawn-of-the-battle
Act 2: Chapter 43: Determination,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-43-determination
Act 2: Chapter 44: Half-Elf Girl and Woman With Goat Mask(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-44-half-elf-girl-and-woman-with-goat-maskside-pomera
Act 2: Chapter 45: Half-Elf Girl And Transferee(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-45-half-elf-girl-and-transfereeside-pomera
Act 2: Chapter 46: Postponement Plan of Immortal Being(Side: Lunaire)-Stalking Diary of A Certain Lich,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-46-postponement-plan-of-immortal-beingside-lunaire-stalking-diary-of-a-certain-lich
Act 2: Chapter 47: Raid on Manarak(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-47-raid-on-manarakside-pomera
Act 2: Chapter 48: Wargod's True Power(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-48-wargods-true-powerside-pomera
"Act 2: Chapter 49: Attack of The Youngest Daughter, Lily(Side:Pomera)",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-49-attack-of-the-youngest-daughter-lilysidepomera
Act 2: Chapter 50: Battle to Death Against Spider-Girl(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-50-battle-to-death-against-spider-girlside-pomera
"Act 2: Chapter 51: Decapitation Witch, Marie The 3rd Daughter",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-51-decapitation-witch-marie-the-3rd-daughter
