"nombre";"url"
"My Runes Can Be Upgraded";"https://boxnovel.com/novel/my-runes-can-be-upgraded/"
"An Empresss Return to the Present The Real Young Ladys Strong Comeback";"https://boxnovel.com/novel/an-empresss-return-to-the-present-the-real-young-ladys-strong-comeback/"
"A rare magical miracle in the world";"https://boxnovel.com/novel/a-rare-magical-miracle-in-the-world/"
"The Reborn Wife is Farming";"https://boxnovel.com/novel/the-reborn-wife-is-farming/"
"The Beloved and Pampered Girl";"https://boxnovel.com/novel/the-beloved-and-pampered-girl/"
"The Lucky Heiress";"https://boxnovel.com/novel/the-lucky-heiress/"
"Fated love the unwanted bride";"https://boxnovel.com/novel/fated-love-the-unwanted-bride/"
"Mr Gus First Doting Marriage";"https://boxnovel.com/novel/mr-gus-first-doting-marriage/"
"After My Rebirth I Escaped My Marriage";"https://boxnovel.com/novel/after-my-rebirth-i-escaped-my-marriage/"
"Arrival of the Alternate World My Identity as the Holy Emperor Got Exposed by My Daughter";"https://boxnovel.com/novel/arrival-of-the-alternate-world-my-identity-as-the-holy-emperor-got-exposed-by-my-daughter/"
"Getting 10 Trillion Out Of Nowhere";"https://boxnovel.com/novel/getting-10-trillion-out-of-nowhere/"
"Pregnant Before the Royal Marriage";"https://boxnovel.com/novel/pregnant-before-the-royal-marriage/"
"The Farmers Eldest Daughter Has a Spatial Pocket";"https://boxnovel.com/novel/the-farmers-eldest-daughter-has-a-spatial-pocket/"
"Following a Hundred Years of Cultivation Im dying Before I Got Cheats";"https://boxnovel.com/novel/following-a-hundred-years-of-cultivation-im-dying-before-i-got-cheats/"
"The Divine Urban Physician";"https://boxnovel.com/novel/the-divine-urban-physician/"
"I Woke My Vegetative Husband up at Our Wedding Night";"https://boxnovel.com/novel/i-woke-my-vegetative-husband-up-at-our-wedding-night/"
"Beauty and the Bodyguard";"https://boxnovel.com/novel/beauty-and-the-bodyguard/"
"Global Lords Hundredfold Increments Starting With the Undead";"https://boxnovel.com/novel/global-lords-hundredfold-increments-starting-with-the-undead/"
"I Practice Farming While the Rest Cultivates";"https://boxnovel.com/novel/i-practice-farming-while-the-rest-cultivates/"
"Defrosting The Cold Young Master";"https://boxnovel.com/novel/defrosting-the-cold-young-master/"
"Be a Good Boy and Marry Me";"https://boxnovel.com/novel/be-a-good-boy-and-marry-me/"
"My Wife Longs for Divorce Every Day";"https://boxnovel.com/novel/my-wife-longs-for-divorce-every-day/"
"My Hubby Cant Stop Pampering Me";"https://boxnovel.com/novel/my-hubby-cant-stop-pampering-me/"
"Farm Girl Turns Everything Around Sly Husband Lets Farm";"https://boxnovel.com/novel/farm-girl-turns-everything-around-sly-husband-lets-farm/"
"Immortality begins with Becoming an Alchemy Grandmaster";"https://boxnovel.com/novel/immortality-begins-with-becoming-an-alchemy-grandmaster/"
"Catastrophe Card King";"https://boxnovel.com/novel/catastrophe-card-king/"
"Eternal Sacred King";"https://boxnovel.com/novel/eternal-sacred-king/"
"Immortality Martial Arts I Started with the Five Animals Health Fist";"https://boxnovel.com/novel/immortality-martial-arts-i-started-with-the-five-animals-health-fist/"
"The Humble Familys Daughter Has A Spatial Pocket";"https://boxnovel.com/novel/the-humble-familys-daughter-has-a-spatial-pocket/"
"Beast Taming I Can Evolve Indefinitely";"https://boxnovel.com/novel/beast-taming-i-can-evolve-indefinitely/"
"The Game of Life";"https://boxnovel.com/novel/the-game-of-life/"
"Becoming a Wizard by Starting From the Mind Closure Technique";"https://boxnovel.com/novel/becoming-a-wizard-by-starting-from-the-mind-closure-technique/"
"My military branches can Evolve Infinitely";"https://boxnovel.com/novel/my-military-branches-can-evolve-infinitely/"
"Taking advantage of the beauty being poor fooling her into being my girlfriend";"https://boxnovel.com/novel/taking-advantage-of-the-beauty-being-poor-fooling-her-into-being-my-girlfriend/"
"Super Insane Doctor of the Goddess";"https://boxnovel.com/novel/super-insane-doctor-of-the-goddess/"
"The Useless Miracle Doctor Consort Is Spoiled Rotten by the Prince";"https://boxnovel.com/novel/the-useless-miracle-doctor-consort-is-spoiled-rotten-by-the-prince/"
"Apocalypse Godlevel Zombie Synthesis System";"https://boxnovel.com/novel/apocalypse-god-level-zombie-synthesis-system/"
"The Big Boss  His Dainty Wife";"https://boxnovel.com/novel/the-big-boss-his-dainty-wife/"
"Rebirth of a Village Girl";"https://boxnovel.com/novel/rebirth-of-a-village-girl/"
"Longevity starting from being a chicken raising servant";"https://boxnovel.com/novel/longevity-starting-from-being-a-chicken-raising-servant/"
"This Taoist Master is too Frivolous";"https://boxnovel.com/novel/this-taoist-master-is-too-frivolous/"
"Destined with You";"https://boxnovel.com/novel/destined-with-you/"
"I Fabricated the Techniques but my disciple really mastered them";"https://boxnovel.com/novel/i-fabricated-the-techniques-but-my-disciple-really-mastered-them/"
"Apocalypse Infinite Evolution Starts from Attribute Allocation";"https://boxnovel.com/novel/apocalypse-infinite-evolution-starts-from-attribute-allocation/"
"As a Magnate I Started Checking in at a Convenience Store";"https://boxnovel.com/novel/as-a-magnate-i-started-checking-in-at-a-convenience-store/"
"Big Data Cultivation";"https://boxnovel.com/novel/big-data-cultivation/"
"Rebirth as a Willow Tree building the strongest tribe in all of eternity";"https://boxnovel.com/novel/rebirth-as-a-willow-tree-building-the-strongest-tribe-in-all-of-eternity/"
"Immortality My cultivation Has No Bottleneck";"https://boxnovel.com/novel/immortality-my-cultivation-has-no-bottleneck/"
"I Can Accumulate Proficiency Starting from Alchemy";"https://boxnovel.com/novel/i-can-accumulate-proficiency-starting-from-alchemy/"
"Unstoppable Martial Arts Starting from Attribute Points Allocation";"https://boxnovel.com/novel/unstoppable-martial-arts-starting-from-attribute-points-allocation/"
"Mythical Era I Evolved Into A StellarLevel Beast";"https://boxnovel.com/novel/mythical-era-i-evolved-into-a-stellar-level-beast/"
"The Immortal Cultivation Game Has Come True";"https://boxnovel.com/novel/the-immortal-cultivation-game-has-come-true/"
"Hyperdimensional Universe I have Three Thousand Ultimate Talents";"https://boxnovel.com/novel/hyperdimensional-universe-i-have-three-thousand-ultimate-talents/"
"I See the Aura of the Great Emperor in All My Disciples";"https://boxnovel.com/novel/i-see-the-aura-of-the-great-emperor-in-all-my-disciples/"
"The Young Masters Bride";"https://boxnovel.com/novel/the-young-masters-bride/"
"My CEO Exhusband Wants To Remarry Me";"https://boxnovel.com/novel/my-ceo-ex-husband-wants-to-remarry-me/"
"Watch Out Danger Ahead";"https://boxnovel.com/novel/watch-out-danger-ahead/"
"My Ferocious Tigress Wife";"https://boxnovel.com/novel/my-ferocious-tigress-wife/"
"War God Supreme";"https://boxnovel.com/novel/war-god-supreme/"
"Sir President Your Stamina is Amazing";"https://boxnovel.com/novel/sir-president-your-stamina-is-amazing/"
"Fantasy I Did Not Raise The Divine Beasts";"https://boxnovel.com/novel/fantasy-i-did-not-raise-the-divine-beasts/"
"The Sweet Life Secretly Married to a Movie Star";"https://boxnovel.com/novel/the-sweet-life-secretly-married-to-a-movie-star/"
"Farmers Wife Has Magic Skills";"https://boxnovel.com/novel/farmers-wife-has-magic-skills/"
